# half-life = 4.41 days
# time log(activity) delta(log(activity))
1 4.76217 0.05
2 4.60517 0.05
3 4.47734 0.05
4 4.27667 0.05
6 3.97029 0.05
9 3.38439 0.05
10 3.22684 0.05
13 2.7213 0.05
15 2.40695 0.05


# time fit
1 4.76217
1.21875 4.72783
1.4375 4.69348
1.65625 4.65914
1.875 4.6248
2.09375 4.59045
2.3125 4.55611
2.53125 4.52176
2.75 4.48742
2.96875 4.45307
3.1875 4.41873
3.40625 4.38438
3.625 4.35004
3.84375 4.31569
4.0625 4.28135
4.28125 4.24701
4.5 4.21266
4.71875 4.17832
4.9375 4.14397
5.15625 4.10963
5.375 4.07528
5.59375 4.04094
5.8125 4.00659
6.03125 3.97225
6.25 3.9379
6.46875 3.90356
6.6875 3.86922
6.90625 3.83487
7.125 3.80053
7.34375 3.76618
7.5625 3.73184
7.78125 3.69749
8 3.66315
8.21875 3.6288
8.4375 3.59446
8.65625 3.56011
8.875 3.52577
9.09375 3.49142
9.3125 3.45708
9.53125 3.42274
9.75 3.38839
9.96875 3.35405
10.1875 3.3197
10.4062 3.28536
10.625 3.25101
10.8438 3.21667
11.0625 3.18232
11.2812 3.14798
11.5 3.11363
11.7188 3.07929
11.9375 3.04495
12.1562 3.0106
12.375 2.97626
12.5938 2.94191
12.8125 2.90757
13.0312 2.87322
13.25 2.83888
13.4688 2.80453
13.6875 2.77019
13.9062 2.73584
14.125 2.7015
14.3438 2.66716
14.5625 2.63281
14.7812 2.59847
15 2.56412


